[BUSQUEDA RUTAS] 2246 tareas de busqueda paralela completadas [2291ms]
[BUSQUEDA RUTAS] 712 tareas de busqueda paralela completadas [48ms]
  [DIAG-ALNS] PAQUETES INCOMPLETOS: 6712
    [SIN RUTAS CANDIDATAS] 6712 paquetes (rutas fuera de deadline o ventana):
      EBCI-000008482 | EBCI→LOWW | cant=1 | creado=2026-06-21T18:06 | deadline=2026-06-22T18:06
      EDDI-000008034 | EDDI→OAKB | cant=1 | creado=2026-06-19T01:18 | deadline=2026-06-21T01:18

      EDDI-000008035 | EDDI→LATI | cant=1 | creado=2026-06-19T01:30 | deadline=2026-06-20T01:30

      EDDI-000008036 | EDDI→LDZA | cant=1 | creado=2026-06-19T01:43 | deadline=2026-06-20T01:43

      EDDI-000008037 | EDDI→SKBO | cant=1 | creado=2026-06-19T01:46 | deadline=2026-06-21T01:46

      EDDI-000008038 | EDDI→EBCI | cant=1 | creado=2026-06-19T01:00 | deadline=2026-06-20T01:00

      EDDI-000008039 | EDDI→EBCI | cant=1 | creado=2026-06-19T02:04 | deadline=2026-06-20T02:04

      EDDI-000008040 | EDDI→SABE | cant=1 | creado=2026-06-19T02:16 | deadline=2026-06-21T02:16

      EDDI-000008041 | EDDI→SBBR | cant=1 | creado=2026-06-19T02:24 | deadline=2026-06-21T02:24

      EDDI-000008042 | EDDI→OYSN | cant=1 | creado=2026-06-19T02:36 | deadline=2026-06-21T02:36

      EDDI-000008043 | EDDI→SEQM | cant=1 | creado=2026-06-19T02:43 | deadline=2026-06-21T02:43

      EDDI-000008044 | EDDI→OJAI | cant=1 | creado=2026-06-19T02:51 | deadline=2026-06-21T02:51

      EDDI-000008045 | EDDI→UMMS | cant=1 | creado=2026-06-19T02:02 | deadline=2026-06-20T02:02

      EDDI-000008046 | EDDI→LOWW | cant=1 | creado=2026-06-19T03:11 | deadline=2026-06-20T03:11

      EDDI-000008047 | EDDI→LBSF | cant=1 | creado=2026-06-19T03:16 | deadline=2026-06-20T03:16

      EDDI-000008048 | EDDI→SEQM | cant=1 | creado=2026-06-19T03:26 | deadline=2026-06-21T03:26

      EDDI-000008049 | EDDI→UBBB | cant=1 | creado=2026-06-19T03:38 | deadline=2026-06-21T03:38

      EDDI-000008050 | EDDI→SLLP | cant=1 | creado=2026-06-19T03:51 | deadline=2026-06-21T03:51

      EDDI-000008051 | EDDI→SPIM | cant=1 | creado=2026-06-19T03:51 | deadline=2026-06-21T03:51

      EDDI-000008052 | EDDI→VIDP | cant=1 | creado=2026-06-19T04:01 | deadline=2026-06-21T04:01

      EDDI-000008053 | EDDI→SKBO | cant=1 | creado=2026-06-19T04:15 | deadline=2026-06-21T04:15

      EDDI-000008054 | EDDI→SLLP | cant=1 | creado=2026-06-19T04:18 | deadline=2026-06-21T04:18

      EDDI-000008055 | EDDI→SGAS | cant=1 | creado=2026-06-19T04:27 | deadline=2026-06-21T04:27

      EDDI-000008056 | EDDI→EHAM | cant=1 | creado=2026-06-19T04:36 | deadline=2026-06-20T04:36

      EDDI-000008057 | EDDI→SKBO | cant=1 | creado=2026-06-19T04:47 | deadline=2026-06-21T04:47

      EDDI-000008058 | EDDI→SPIM | cant=1 | creado=2026-06-19T04:03 | deadline=2026-06-21T04:03

      EDDI-000008059 | EDDI→LDZA | cant=1 | creado=2026-06-19T05:04 | deadline=2026-06-20T05:04

      EDDI-000008060 | EDDI→OPKC | cant=1 | creado=2026-06-19T05:15 | deadline=2026-06-21T05:15

      EDDI-000008061 | EDDI→OSDI | cant=1 | creado=2026-06-19T05:22 | deadline=2026-06-21T05:22

      EDDI-000008062 | EDDI→VIDP | cant=1 | creado=2026-06-19T05:34 | deadline=2026-06-21T05:34

      EDDI-000008063 | EDDI→SUAA | cant=1 | creado=2026-06-19T05:45 | deadline=2026-06-21T05:45

      EDDI-000008064 | EDDI→OERK | cant=1 | creado=2026-06-19T05:49 | deadline=2026-06-21T05:49

      EDDI-000008065 | EDDI→UBBB | cant=1 | creado=2026-06-19T05:01 | deadline=2026-06-21T05:01

      EDDI-000008066 | EDDI→SGAS | cant=1 | creado=2026-06-19T06:11 | deadline=2026-06-21T06:11

      EDDI-000008067 | EDDI→SBBR | cant=1 | creado=2026-06-19T06:24 | deadline=2026-06-21T06:24

      EDDI-000008068 | EDDI→SVMI | cant=1 | creado=2026-06-19T06:30 | deadline=2026-06-21T06:30

      EDDI-000008069 | EDDI→SEQM | cant=1 | creado=2026-06-19T06:37 | deadline=2026-06-21T06:37

      EDDI-000008070 | EDDI→VIDP | cant=1 | creado=2026-06-19T06:47 | deadline=2026-06-21T06:47

      EDDI-000008071 | EDDI→EKCH | cant=1 | creado=2026-06-19T06:56 | deadline=2026-06-20T06:56

      EDDI-000008072 | EDDI→LOWW | cant=1 | creado=2026-06-19T07:07 | deadline=2026-06-20T07:07

      EDDI-000008073 | EDDI→OOMS | cant=1 | creado=2026-06-19T07:16 | deadline=2026-06-21T07:16

      EDDI-000008074 | EDDI→VIDP | cant=1 | creado=2026-06-19T07:23 | deadline=2026-06-21T07:23

      EDDI-000008075 | EDDI→OSDI | cant=1 | creado=2026-06-19T07:31 | deadline=2026-06-21T07:31

      EDDI-000008076 | EDDI→SLLP | cant=1 | creado=2026-06-19T07:43 | deadline=2026-06-21T07:43

      EDDI-000008077 | EDDI→OOMS | cant=1 | creado=2026-06-19T07:54 | deadline=2026-06-21T07:54

      EDDI-000008078 | EDDI→SABE | cant=1 | creado=2026-06-19T07:01 | deadline=2026-06-21T07:01

      EDDI-000008079 | EDDI→LDZA | cant=1 | creado=2026-06-19T08:06 | deadline=2026-06-20T08:06

      EDDI-000008080 | EDDI→LATI | cant=1 | creado=2026-06-19T08:14 | deadline=2026-06-20T08:14

      EDDI-000008081 | EDDI→OPKC | cant=1 | creado=2026-06-19T08:23 | deadline=2026-06-21T08:23

      EDDI-000008082 | EDDI→OYSN | cant=1 | creado=2026-06-19T08:32 | deadline=2026-06-21T08:32

      EDDI-000008083 | EDDI→LKPR | cant=1 | creado=2026-06-19T08:40 | deadline=2026-06-20T08:40

      EDDI-000008084 | EDDI→OSDI | cant=1 | creado=2026-06-19T08:51 | deadline=2026-06-21T08:51

      EDDI-000008085 | EDDI→UBBB | cant=1 | creado=2026-06-19T08:03 | deadline=2026-06-21T08:03

      EDDI-000008086 | EDDI→SUAA | cant=1 | creado=2026-06-19T09:10 | deadline=2026-06-21T09:10

      EDDI-000008087 | EDDI→SVMI | cant=1 | creado=2026-06-19T09:20 | deadline=2026-06-21T09:20

      EDDI-000008088 | EDDI→OPKC | cant=1 | creado=2026-06-19T09:33 | deadline=2026-06-21T09:33

      EDDI-000008089 | EDDI→EKCH | cant=1 | creado=2026-06-19T09:36 | deadline=2026-06-20T09:36

      EDDI-000008090 | EDDI→UMMS | cant=1 | creado=2026-06-19T09:45 | deadline=2026-06-20T09:45

      EDDI-000008091 | EDDI→SLLP | cant=1 | creado=2026-06-19T09:59 | deadline=2026-06-21T09:59

      EDDI-000008092 | EDDI→LATI | cant=1 | creado=2026-06-19T10:08 | deadline=2026-06-20T10:08

      EDDI-000008093 | EDDI→SVMI | cant=1 | creado=2026-06-19T10:13 | deadline=2026-06-21T10:13

      EDDI-000008094 | EDDI→LKPR | cant=1 | creado=2026-06-19T10:24 | deadline=2026-06-20T10:24

      EDDI-000008095 | EDDI→EKCH | cant=1 | creado=2026-06-19T10:32 | deadline=2026-06-20T10:32

      EDDI-000008096 | EDDI→LBSF | cant=1 | creado=2026-06-19T10:45 | deadline=2026-06-20T10:45

      EDDI-000008097 | EDDI→SLLP | cant=1 | creado=2026-06-19T10:47 | deadline=2026-06-21T10:47

      EDDI-000008098 | EDDI→LDZA | cant=1 | creado=2026-06-19T10:55 | deadline=2026-06-20T10:55

      EDDI-000008099 | EDDI→OYSN | cant=1 | creado=2026-06-19T11:04 | deadline=2026-06-21T11:04

      EDDI-000008100 | EDDI→EBCI | cant=1 | creado=2026-06-19T11:21 | deadline=2026-06-20T11:21

      EDDI-000008101 | EDDI→SABE | cant=1 | creado=2026-06-19T11:28 | deadline=2026-06-21T11:28

      EDDI-000008102 | EDDI→SABE | cant=1 | creado=2026-06-19T11:36 | deadline=2026-06-21T11:36

      EDDI-000008103 | EDDI→SABE | cant=1 | creado=2026-06-19T11:40 | deadline=2026-06-21T11:40

      EDDI-000008104 | EDDI→VIDP | cant=1 | creado=2026-06-19T11:52 | deadline=2026-06-21T11:52

      EDDI-000008105 | EDDI→OSDI | cant=1 | creado=2026-06-19T11:59 | deadline=2026-06-21T11:59

      EDDI-000008106 | EDDI→OERK | cant=1 | creado=2026-06-19T12:14 | deadline=2026-06-21T12:14

      EDDI-000008107 | EDDI→OOMS | cant=1 | creado=2026-06-19T12:17 | deadline=2026-06-21T12:17

      EDDI-000008108 | EDDI→LDZA | cant=1 | creado=2026-06-19T12:29 | deadline=2026-06-20T12:29

      EDDI-000008109 | EDDI→OPKC | cant=1 | creado=2026-06-19T12:38 | deadline=2026-06-21T12:38

      EDDI-000008110 | EDDI→EKCH | cant=1 | creado=2026-06-19T12:47 | deadline=2026-06-20T12:47

      EDDI-000008111 | EDDI→LOWW | cant=1 | creado=2026-06-19T12:58 | deadline=2026-06-20T12:58

      EDDI-000008112 | EDDI→EHAM | cant=1 | creado=2026-06-19T13:07 | deadline=2026-06-20T13:07

      EDDI-000008113 | EDDI→SVMI | cant=1 | creado=2026-06-19T13:14 | deadline=2026-06-21T13:14

      EDDI-000008114 | EDDI→OERK | cant=1 | creado=2026-06-19T13:23 | deadline=2026-06-21T13:23

      EDDI-000008115 | EDDI→VIDP | cant=1 | creado=2026-06-19T13:30 | deadline=2026-06-21T13:30

      EDDI-000008116 | EDDI→OJAI | cant=1 | creado=2026-06-19T13:42 | deadline=2026-06-21T13:42

      EDDI-000008117 | EDDI→EBCI | cant=1 | creado=2026-06-19T13:49 | deadline=2026-06-20T13:49

      EDDI-000008118 | EDDI→VIDP | cant=1 | creado=2026-06-19T13:59 | deadline=2026-06-21T13:59

      EDDI-000008119 | EDDI→SVMI | cant=1 | creado=2026-06-19T14:12 | deadline=2026-06-21T14:12

      EDDI-000008120 | EDDI→SEQM | cant=1 | creado=2026-06-19T14:14 | deadline=2026-06-21T14:14

      EDDI-000008121 | EDDI→OYSN | cant=1 | creado=2026-06-19T14:26 | deadline=2026-06-21T14:26

      EDDI-000008122 | EDDI→LKPR | cant=1 | creado=2026-06-19T14:31 | deadline=2026-06-20T14:31

      EDDI-000008123 | EDDI→OJAI | cant=1 | creado=2026-06-19T14:41 | deadline=2026-06-21T14:41

      EDDI-000008124 | EDDI→EHAM | cant=1 | creado=2026-06-19T14:54 | deadline=2026-06-20T14:54

      EDDI-000008125 | EDDI→SUAA | cant=1 | creado=2026-06-19T14:06 | deadline=2026-06-21T14:06

      EDDI-000008126 | EDDI→OERK | cant=1 | creado=2026-06-19T15:10 | deadline=2026-06-21T15:10

      EDDI-000008127 | EDDI→SVMI | cant=1 | creado=2026-06-19T15:15 | deadline=2026-06-21T15:15

      EDDI-000008128 | EDDI→UBBB | cant=1 | creado=2026-06-19T15:30 | deadline=2026-06-21T15:30

      EDDI-000008129 | EDDI→OSDI | cant=1 | creado=2026-06-19T15:36 | deadline=2026-06-21T15:36

      EDDI-000008130 | EDDI→UMMS | cant=1 | creado=2026-06-19T15:43 | deadline=2026-06-20T15:43

      EDDI-000008131 | EDDI→EKCH | cant=1 | creado=2026-06-19T15:57 | deadline=2026-06-20T15:57

      EDDI-000008132 | EDDI→SUAA | cant=1 | creado=2026-06-19T16:07 | deadline=2026-06-21T16:07

      EDDI-000008133 | EDDI→OYSN | cant=1 | creado=2026-06-19T16:10 | deadline=2026-06-21T16:10

      EDDI-000008134 | EDDI→OAKB | cant=1 | creado=2026-06-19T16:19 | deadline=2026-06-21T16:19

      EDDI-000008135 | EDDI→OERK | cant=1 | creado=2026-06-19T16:32 | deadline=2026-06-21T16:32

      EDDI-000008136 | EDDI→OPKC | cant=1 | creado=2026-06-19T16:45 | deadline=2026-06-21T16:45

      EDDI-000008137 | EDDI→SGAS | cant=1 | creado=2026-06-19T16:45 | deadline=2026-06-21T16:45

      EDDI-000008138 | EDDI→SEQM | cant=1 | creado=2026-06-19T16:59 | deadline=2026-06-21T16:59

      EDDI-000008139 | EDDI→EKCH | cant=1 | creado=2026-06-19T17:03 | deadline=2026-06-20T17:03

      EDDI-000008140 | EDDI→SLLP | cant=1 | creado=2026-06-19T17:18 | deadline=2026-06-21T17:18

      EDDI-000008141 | EDDI→SUAA | cant=1 | creado=2026-06-19T17:30 | deadline=2026-06-21T17:30

      EDDI-000008142 | EDDI→EHAM | cant=1 | creado=2026-06-19T17:32 | deadline=2026-06-20T17:32

      EDDI-000008143 | EDDI→SABE | cant=1 | creado=2026-06-19T17:44 | deadline=2026-06-21T17:44

      EDDI-000008144 | EDDI→SKBO | cant=1 | creado=2026-06-19T17:53 | deadline=2026-06-21T17:53

      EDDI-000008145 | EDDI→SGAS | cant=1 | creado=2026-06-19T17:01 | deadline=2026-06-21T17:01

      EDDI-000008146 | EDDI→SEQM | cant=1 | creado=2026-06-19T18:10 | deadline=2026-06-21T18:10

      EDDI-000008147 | EDDI→OYSN | cant=1 | creado=2026-06-19T18:19 | deadline=2026-06-21T18:19

      EDDI-000008148 | EDDI→OYSN | cant=1 | creado=2026-06-19T18:30 | deadline=2026-06-21T18:30

      EDDI-000008149 | EDDI→LATI | cant=1 | creado=2026-06-19T18:37 | deadline=2026-06-20T18:37

      EDDI-000008150 | EDDI→SABE | cant=1 | creado=2026-06-19T18:49 | deadline=2026-06-21T18:49

      EDDI-000008151 | EDDI→SABE | cant=1 | creado=2026-06-19T18:59 | deadline=2026-06-21T18:59

      EDDI-000008152 | EDDI→SPIM | cant=1 | creado=2026-06-19T19:03 | deadline=2026-06-21T19:03

      EDDI-000008153 | EDDI→OSDI | cant=1 | creado=2026-06-19T19:14 | deadline=2026-06-21T19:14

      EDDI-000008154 | EDDI→SCEL | cant=1 | creado=2026-06-19T19:20 | deadline=2026-06-21T19:20

      EDDI-000008155 | EDDI→SBBR | cant=1 | creado=2026-06-19T19:27 | deadline=2026-06-21T19:27

      EDDI-000008156 | EDDI→OOMS | cant=2 | creado=2026-06-19T22:24 | deadline=2026-06-21T22:24

      EDDI-000008157 | EDDI→LBSF | cant=2 | creado=2026-06-19T22:31 | deadline=2026-06-20T22:31

      EDDI-000008158 | EDDI→OPKC | cant=2 | creado=2026-06-19T22:49 | deadline=2026-06-21T22:49

      EDDI-000008159 | EDDI→OJAI | cant=2 | creado=2026-06-19T23:06 | deadline=2026-06-21T23:06

      EDDI-000008160 | EDDI→SEQM | cant=2 | creado=2026-06-19T23:24 | deadline=2026-06-21T23:24

      EDDI-000008161 | EDDI→OPKC | cant=2 | creado=2026-06-19T23:31 | deadline=2026-06-21T23:31

      EDDI-000008162 | EDDI→LATI | cant=2 | creado=2026-06-19T23:53 | deadline=2026-06-20T23:53

      EDDI-000008163 | EDDI→EKCH | cant=2 | creado=2026-06-20T00:02 | deadline=2026-06-21T00:02

      EDDI-000008164 | EDDI→LATI | cant=2 | creado=2026-06-20T00:22 | deadline=2026-06-21T00:22

      EDDI-000008165 | EDDI→OPKC | cant=2 | creado=2026-06-20T00:35 | deadline=2026-06-22T00:35

      EDDI-000008166 | EDDI→SLLP | cant=2 | creado=2026-06-20T00:47 | deadline=2026-06-22T00:47

      EDDI-000008167 | EDDI→SGAS | cant=2 | creado=2026-06-20T01:00 | deadline=2026-06-22T01:00

      EDDI-000008168 | EDDI→SABE | cant=2 | creado=2026-06-20T01:16 | deadline=2026-06-22T01:16

      EDDI-000008169 | EDDI→SCEL | cant=2 | creado=2026-06-20T01:39 | deadline=2026-06-22T01:39

      EDDI-000008170 | EDDI→SPIM | cant=2 | creado=2026-06-20T01:48 | deadline=2026-06-22T01:48

      EDDI-000008171 | EDDI→VIDP | cant=2 | creado=2026-06-20T02:00 | deadline=2026-06-22T02:00

      EDDI-000008172 | EDDI→SKBO | cant=2 | creado=2026-06-20T02:17 | deadline=2026-06-22T02:17

      EDDI-000008173 | EDDI→SBBR | cant=2 | creado=2026-06-20T02:37 | deadline=2026-06-22T02:37

      EDDI-000008174 | EDDI→SVMI | cant=2 | creado=2026-06-20T02:46 | deadline=2026-06-22T02:46

      EDDI-000008175 | EDDI→OMDB | cant=2 | creado=2026-06-20T03:09 | deadline=2026-06-22T03:09

      EDDI-000008176 | EDDI→OERK | cant=2 | creado=2026-06-20T03:16 | deadline=2026-06-22T03:16

      EDDI-000008177 | EDDI→SABE | cant=2 | creado=2026-06-20T03:30 | deadline=2026-06-22T03:30

      EDDI-000008178 | EDDI→SBBR | cant=2 | creado=2026-06-20T03:53 | deadline=2026-06-22T03:53

      EDDI-000008179 | EDDI→SEQM | cant=2 | creado=2026-06-20T04:01 | deadline=2026-06-22T04:01

      EDDI-000008180 | EDDI→SVMI | cant=2 | creado=2026-06-20T04:17 | deadline=2026-06-22T04:17

      EDDI-000008181 | EDDI→OOMS | cant=2 | creado=2026-06-20T04:37 | deadline=2026-06-22T04:37

      EDDI-000008182 | EDDI→SCEL | cant=2 | creado=2026-06-20T04:46 | deadline=2026-06-22T04:46

      EDDI-000008183 | EDDI→LBSF | cant=2 | creado=2026-06-20T05:02 | deadline=2026-06-21T05:02

      EDDI-000008184 | EDDI→SCEL | cant=2 | creado=2026-06-20T05:17 | deadline=2026-06-22T05:17

      EDDI-000008185 | EDDI→OYSN | cant=2 | creado=2026-06-20T05:36 | deadline=2026-06-22T05:36

      EDDI-000008186 | EDDI→LDZA | cant=2 | creado=2026-06-20T05:47 | deadline=2026-06-21T05:47

      EDDI-000008187 | EDDI→SUAA | cant=2 | creado=2026-06-20T06:09 | deadline=2026-06-22T06:09

      EDDI-000008188 | EDDI→LOWW | cant=2 | creado=2026-06-20T06:21 | deadline=2026-06-21T06:21

      EDDI-000008189 | EDDI→OERK | cant=2 | creado=2026-06-20T06:37 | deadline=2026-06-22T06:37

      EDDI-000008190 | EDDI→OSDI | cant=2 | creado=2026-06-20T06:53 | deadline=2026-06-22T06:53

      EDDI-000008191 | EDDI→EBCI | cant=2 | creado=2026-06-20T07:05 | deadline=2026-06-21T07:05

      EDDI-000008192 | EDDI→EKCH | cant=2 | creado=2026-06-20T07:19 | deadline=2026-06-21T07:19

      EDDI-000008193 | EDDI→SGAS | cant=2 | creado=2026-06-20T07:34 | deadline=2026-06-22T07:34

      EDDI-000008194 | EDDI→SABE | cant=2 | creado=2026-06-20T07:49 | deadline=2026-06-22T07:49

      EDDI-000008195 | EDDI→SPIM | cant=2 | creado=2026-06-20T08:04 | deadline=2026-06-22T08:04

      EDDI-000008196 | EDDI→SCEL | cant=2 | creado=2026-06-20T08:19 | deadline=2026-06-22T08:19

      EDDI-000008197 | EDDI→UBBB | cant=2 | creado=2026-06-20T08:36 | deadline=2026-06-22T08:36

      EDDI-000008198 | EDDI→LOWW | cant=2 | creado=2026-06-20T08:50 | deadline=2026-06-21T08:50

      EDDI-000008199 | EDDI→OOMS | cant=2 | creado=2026-06-20T09:08 | deadline=2026-06-22T09:08

      EDDI-000008200 | EDDI→SCEL | cant=2 | creado=2026-06-20T09:22 | deadline=2026-06-22T09:22

      EDDI-000008201 | EDDI→EHAM | cant=2 | creado=2026-06-20T09:37 | deadline=2026-06-21T09:37

      EDDI-000008202 | EDDI→OYSN | cant=2 | creado=2026-06-20T09:54 | deadline=2026-06-22T09:54

      EDDI-000008203 | EDDI→SUAA | cant=2 | creado=2026-06-20T10:08 | deadline=2026-06-22T10:08

      EDDI-000008204 | EDDI→SKBO | cant=2 | creado=2026-06-20T10:16 | deadline=2026-06-22T10:16

      EDDI-000008205 | EDDI→OSDI | cant=2 | creado=2026-06-20T10:31 | deadline=2026-06-22T10:31

      EDDI-000008206 | EDDI→LATI | cant=2 | creado=2026-06-20T10:46 | deadline=2026-06-21T10:46

      EDDI-000008207 | EDDI→OOMS | cant=2 | creado=2026-06-20T11:06 | deadline=2026-06-22T11:06

      EDDI-000008208 | EDDI→LATI | cant=2 | creado=2026-06-20T11:15 | deadline=2026-06-21T11:15

      EDDI-000008209 | EDDI→LATI | cant=2 | creado=2026-06-20T11:35 | deadline=2026-06-21T11:35

      EDDI-000008210 | EDDI→OPKC | cant=2 | creado=2026-06-20T11:53 | deadline=2026-06-22T11:53

      EDDI-000008211 | EDDI→SKBO | cant=2 | creado=2026-06-20T12:04 | deadline=2026-06-22T12:04

      EDDI-000008212 | EDDI→EBCI | cant=2 | creado=2026-06-20T12:15 | deadline=2026-06-21T12:15

      EDDI-000008213 | EDDI→EKCH | cant=2 | creado=2026-06-20T12:39 | deadline=2026-06-21T12:39

      EDDI-000008214 | EDDI→OSDI | cant=2 | creado=2026-06-20T12:49 | deadline=2026-06-22T12:49

      EDDI-000008215 | EDDI→OSDI | cant=2 | creado=2026-06-20T13:09 | deadline=2026-06-22T13:09

      EDDI-000008216 | EDDI→SEQM | cant=2 | creado=2026-06-20T13:23 | deadline=2026-06-22T13:23

      EDDI-000008217 | EDDI→LBSF | cant=2 | creado=2026-06-20T13:31 | deadline=2026-06-21T13:31

      EDDI-000008218 | EDDI→LOWW | cant=2 | creado=2026-06-20T13:52 | deadline=2026-06-21T13:52

      EDDI-000008219 | EDDI→EBCI | cant=2 | creado=2026-06-20T14:06 | deadline=2026-06-21T14:06

      EDDI-000008220 | EDDI→SABE | cant=2 | creado=2026-06-20T14:24 | deadline=2026-06-22T14:24

      EDDI-000008221 | EDDI→SGAS | cant=2 | creado=2026-06-20T14:30 | deadline=2026-06-22T14:30

      EDDI-000008222 | EDDI→UBBB | cant=2 | creado=2026-06-20T14:46 | deadline=2026-06-22T14:46

      EDDI-000008223 | EDDI→OOMS | cant=2 | creado=2026-06-20T15:03 | deadline=2026-06-22T15:03

      EDDI-000008224 | EDDI→VIDP | cant=2 | creado=2026-06-20T15:15 | deadline=2026-06-22T15:15

      EDDI-000008225 | EDDI→SBBR | cant=2 | creado=2026-06-20T15:37 | deadline=2026-06-22T15:37

      EDDI-000008226 | EDDI→VIDP | cant=2 | creado=2026-06-20T15:47 | deadline=2026-06-22T15:47

      EDDI-000008227 | EDDI→SABE | cant=1 | creado=2026-06-20T16:09 | deadline=2026-06-22T16:09

      EDDI-000008228 | EDDI→LOWW | cant=1 | creado=2026-06-20T16:15 | deadline=2026-06-21T16:15

      EDDI-000008229 | EDDI→LOWW | cant=1 | creado=2026-06-20T16:32 | deadline=2026-06-21T16:32

      EDDI-000008230 | EDDI→LATI | cant=1 | creado=2026-06-20T16:45 | deadline=2026-06-21T16:45

      EDDI-000008231 | EDDI→LDZA | cant=1 | creado=2026-06-20T17:03 | deadline=2026-06-21T17:03

      EDDI-000008232 | EDDI→EKCH | cant=1 | creado=2026-06-20T17:24 | deadline=2026-06-21T17:24

      EDDI-000008233 | EDDI→OJAI | cant=1 | creado=2026-06-20T17:39 | deadline=2026-06-22T17:39

      EDDI-000008234 | EDDI→LDZA | cant=1 | creado=2026-06-20T17:49 | deadline=2026-06-21T17:49

      EDDI-000008235 | EDDI→OMDB | cant=1 | creado=2026-06-20T18:03 | deadline=2026-06-22T18:03

      EDDI-000008236 | EDDI→SEQM | cant=1 | creado=2026-06-20T18:23 | deadline=2026-06-22T18:23

      EDDI-000008237 | EDDI→SBBR | cant=1 | creado=2026-06-20T18:37 | deadline=2026-06-22T18:37

      EDDI-000008238 | EDDI→UMMS | cant=2 | creado=2026-06-20T22:20 | deadline=2026-06-21T22:20

      EDDI-000008239 | EDDI→VIDP | cant=2 | creado=2026-06-20T22:32 | deadline=2026-06-22T22:32

      EDDI-000008240 | EDDI→SGAS | cant=2 | creado=2026-06-20T22:45 | deadline=2026-06-22T22:45

      EDDI-000008241 | EDDI→SBBR | cant=2 | creado=2026-06-20T23:07 | deadline=2026-06-22T23:07

      EDDI-000008242 | EDDI→OAKB | cant=2 | creado=2026-06-20T23:23 | deadline=2026-06-22T23:23

      EDDI-000008243 | EDDI→SGAS | cant=2 | creado=2026-06-20T23:33 | deadline=2026-06-22T23:33

