[BUSQUEDA RUTAS] 702 tareas de busqueda paralela completadas [151ms]
[BUSQUEDA RUTAS] 2246 tareas de busqueda paralela completadas [2142ms]
  [DIAG-ALNS] PAQUETES INCOMPLETOS: 4420
    [SIN RUTAS CANDIDATAS] 4420 paquetes (rutas fuera de deadline o ventana):
      EBCI-000008233 | EBCI→SBBR | cant=1 | creado=2026-06-19T13:26 | deadline=2026-06-21T13:26
      EBCI-000008327 | EBCI→OYSN | cant=1 | creado=2026-06-20T13:48 | deadline=2026-06-22T13:48

      EBCI-000008328 | EBCI→OPKC | cant=1 | creado=2026-06-20T13:55 | deadline=2026-06-22T13:55

      EBCI-000008329 | EBCI→VIDP | cant=1 | creado=2026-06-20T14:08 | deadline=2026-06-22T14:08

      EBCI-000008330 | EBCI→OERK | cant=1 | creado=2026-06-20T14:13 | deadline=2026-06-22T14:13

      EBCI-000008332 | EBCI→SLLP | cant=1 | creado=2026-06-20T14:37 | deadline=2026-06-22T14:37

      EBCI-000008334 | EBCI→EHAM | cant=1 | creado=2026-06-20T14:55 | deadline=2026-06-21T14:55

      EBCI-000008335 | EBCI→EKCH | cant=1 | creado=2026-06-20T15:01 | deadline=2026-06-21T15:01

      EBCI-000008336 | EBCI→LKPR | cant=1 | creado=2026-06-20T15:10 | deadline=2026-06-21T15:10

      EBCI-000008339 | EBCI→OMDB | cant=1 | creado=2026-06-20T15:41 | deadline=2026-06-22T15:41

      EBCI-000008342 | EBCI→EKCH | cant=1 | creado=2026-06-20T16:10 | deadline=2026-06-21T16:10

      EBCI-000008343 | EBCI→OAKB | cant=1 | creado=2026-06-20T16:23 | deadline=2026-06-22T16:23

      EBCI-000008347 | EBCI→SPIM | cant=1 | creado=2026-06-20T17:06 | deadline=2026-06-22T17:06

      EBCI-000008349 | EBCI→LKPR | cant=1 | creado=2026-06-20T17:24 | deadline=2026-06-21T17:24

      EBCI-000008351 | EBCI→OJAI | cant=1 | creado=2026-06-20T17:49 | deadline=2026-06-22T17:49

      EBCI-000008352 | EBCI→SPIM | cant=1 | creado=2026-06-20T17:57 | deadline=2026-06-22T17:57

      EBCI-000008353 | EBCI→OERK | cant=1 | creado=2026-06-20T18:05 | deadline=2026-06-22T18:05

      EBCI-000008354 | EBCI→LKPR | cant=1 | creado=2026-06-20T18:18 | deadline=2026-06-21T18:18

      EBCI-000008355 | EBCI→SEQM | cant=1 | creado=2026-06-20T18:29 | deadline=2026-06-22T18:29

      EBCI-000008356 | EBCI→SCEL | cant=1 | creado=2026-06-20T18:33 | deadline=2026-06-22T18:33

      EBCI-000008357 | EBCI→SEQM | cant=1 | creado=2026-06-20T18:42 | deadline=2026-06-22T18:42

      EBCI-000008358 | EBCI→EHAM | cant=1 | creado=2026-06-20T18:57 | deadline=2026-06-21T18:57

      EBCI-000008359 | EBCI→UBBB | cant=1 | creado=2026-06-20T19:03 | deadline=2026-06-22T19:03

      EBCI-000008360 | EBCI→SPIM | cant=1 | creado=2026-06-20T19:10 | deadline=2026-06-22T19:10

      EBCI-000008361 | EBCI→OPKC | cant=1 | creado=2026-06-20T19:24 | deadline=2026-06-22T19:24

      EBCI-000008362 | EBCI→SCEL | cant=1 | creado=2026-06-20T19:32 | deadline=2026-06-22T19:32

      EBCI-000008364 | EBCI→OAKB | cant=2 | creado=2026-06-20T22:28 | deadline=2026-06-22T22:28

      EBCI-000008365 | EBCI→SCEL | cant=2 | creado=2026-06-20T22:31 | deadline=2026-06-22T22:31

      EBCI-000008367 | EBCI→SPIM | cant=2 | creado=2026-06-20T22:51 | deadline=2026-06-22T22:51

      EBCI-000008368 | EBCI→VIDP | cant=2 | creado=2026-06-20T23:08 | deadline=2026-06-22T23:08

      EBCI-000008370 | EBCI→OERK | cant=2 | creado=2026-06-20T23:23 | deadline=2026-06-22T23:23

      EBCI-000008372 | EBCI→LKPR | cant=2 | creado=2026-06-20T23:48 | deadline=2026-06-21T23:48

      EBCI-000008373 | EBCI→OERK | cant=2 | creado=2026-06-20T23:59 | deadline=2026-06-22T23:59

      EBCI-000008375 | EBCI→OYSN | cant=2 | creado=2026-06-21T00:11 | deadline=2026-06-23T00:11

      EBCI-000008377 | EBCI→SLLP | cant=2 | creado=2026-06-21T00:33 | deadline=2026-06-23T00:33

      EBCI-000008378 | EBCI→OPKC | cant=2 | creado=2026-06-21T00:48 | deadline=2026-06-23T00:48

      EBCI-000008380 | EBCI→SEQM | cant=2 | creado=2026-06-21T01:08 | deadline=2026-06-23T01:08

      EBCI-000008381 | EBCI→SBBR | cant=2 | creado=2026-06-21T01:17 | deadline=2026-06-23T01:17

      EBCI-000008383 | EBCI→LKPR | cant=1 | creado=2026-06-21T01:35 | deadline=2026-06-22T01:35

      EBCI-000008385 | EBCI→SVMI | cant=1 | creado=2026-06-21T01:53 | deadline=2026-06-23T01:53

      EBCI-000008386 | EBCI→OSDI | cant=1 | creado=2026-06-21T02:01 | deadline=2026-06-23T02:01

      EBCI-000008389 | EBCI→LKPR | cant=1 | creado=2026-06-21T02:36 | deadline=2026-06-22T02:36

      EBCI-000008391 | EBCI→SEQM | cant=1 | creado=2026-06-21T02:59 | deadline=2026-06-23T02:59

      EBCI-000008392 | EBCI→SUAA | cant=1 | creado=2026-06-21T03:08 | deadline=2026-06-23T03:08

      EBCI-000008395 | EBCI→UBBB | cant=1 | creado=2026-06-21T03:33 | deadline=2026-06-23T03:33

      EBCI-000008397 | EBCI→OMDB | cant=1 | creado=2026-06-21T03:51 | deadline=2026-06-23T03:51

      EBCI-000008398 | EBCI→OSDI | cant=1 | creado=2026-06-21T04:08 | deadline=2026-06-23T04:08

      EBCI-000008401 | EBCI→SUAA | cant=1 | creado=2026-06-21T04:35 | deadline=2026-06-23T04:35

      EBCI-000008402 | EBCI→SLLP | cant=1 | creado=2026-06-21T04:46 | deadline=2026-06-23T04:46

      EBCI-000008406 | EBCI→OYSN | cant=1 | creado=2026-06-21T05:20 | deadline=2026-06-23T05:20

      EBCI-000008407 | EBCI→OYSN | cant=1 | creado=2026-06-21T05:38 | deadline=2026-06-23T05:38

      EBCI-000008408 | EBCI→LOWW | cant=1 | creado=2026-06-21T05:48 | deadline=2026-06-22T05:48

      EBCI-000008409 | EBCI→SCEL | cant=1 | creado=2026-06-21T05:57 | deadline=2026-06-23T05:57

      EBCI-000008411 | EBCI→LKPR | cant=1 | creado=2026-06-21T06:16 | deadline=2026-06-22T06:16

      EBCI-000008412 | EBCI→SABE | cant=1 | creado=2026-06-21T06:28 | deadline=2026-06-23T06:28

      EBCI-000008413 | EBCI→OERK | cant=1 | creado=2026-06-21T06:33 | deadline=2026-06-23T06:33

      EBCI-000008414 | EBCI→SUAA | cant=1 | creado=2026-06-21T06:49 | deadline=2026-06-23T06:49

      EBCI-000008415 | EBCI→OPKC | cant=1 | creado=2026-06-21T06:52 | deadline=2026-06-23T06:52

      EBCI-000008416 | EBCI→OAKB | cant=1 | creado=2026-06-21T07:02 | deadline=2026-06-23T07:02

      EBCI-000008417 | EBCI→SUAA | cant=1 | creado=2026-06-21T07:13 | deadline=2026-06-23T07:13

      EBCI-000008419 | EBCI→OYSN | cant=1 | creado=2026-06-21T07:34 | deadline=2026-06-23T07:34

      EBCI-000008420 | EBCI→LKPR | cant=1 | creado=2026-06-21T07:46 | deadline=2026-06-22T07:46

      EBCI-000008421 | EBCI→SLLP | cant=1 | creado=2026-06-21T07:52 | deadline=2026-06-23T07:52

      EBCI-000008423 | EBCI→LKPR | cant=1 | creado=2026-06-21T08:18 | deadline=2026-06-22T08:18

      EBCI-000008425 | EBCI→OSDI | cant=1 | creado=2026-06-21T08:39 | deadline=2026-06-23T08:39

      EBCI-000008427 | EBCI→VIDP | cant=1 | creado=2026-06-21T08:55 | deadline=2026-06-23T08:55

      EBCI-000008428 | EBCI→SPIM | cant=1 | creado=2026-06-21T09:05 | deadline=2026-06-23T09:05

      EBCI-000008429 | EBCI→SEQM | cant=1 | creado=2026-06-21T09:16 | deadline=2026-06-23T09:16

      EBCI-000008430 | EBCI→OERK | cant=1 | creado=2026-06-21T09:20 | deadline=2026-06-23T09:20

      EBCI-000008431 | EBCI→OAKB | cant=1 | creado=2026-06-21T09:38 | deadline=2026-06-23T09:38

      EBCI-000008433 | EBCI→SUAA | cant=1 | creado=2026-06-21T09:56 | deadline=2026-06-23T09:56

      EBCI-000008435 | EBCI→SGAS | cant=1 | creado=2026-06-21T10:11 | deadline=2026-06-23T10:11

      EBCI-000008436 | EBCI→SGAS | cant=1 | creado=2026-06-21T10:23 | deadline=2026-06-23T10:23

      EBCI-000008437 | EBCI→OSDI | cant=1 | creado=2026-06-21T10:35 | deadline=2026-06-23T10:35

      EBCI-000008438 | EBCI→EKCH | cant=1 | creado=2026-06-21T10:48 | deadline=2026-06-22T10:48

      EBCI-000008439 | EBCI→SCEL | cant=1 | creado=2026-06-21T10:57 | deadline=2026-06-23T10:57

      EBCI-000008440 | EBCI→EHAM | cant=1 | creado=2026-06-21T11:08 | deadline=2026-06-22T11:08

      EBCI-000008441 | EBCI→SUAA | cant=1 | creado=2026-06-21T11:12 | deadline=2026-06-23T11:12

      EBCI-000008443 | EBCI→LKPR | cant=1 | creado=2026-06-21T11:33 | deadline=2026-06-22T11:33

      EBCI-000008444 | EBCI→OSDI | cant=1 | creado=2026-06-21T11:46 | deadline=2026-06-23T11:46

      EBCI-000008445 | EBCI→LKPR | cant=1 | creado=2026-06-21T11:51 | deadline=2026-06-22T11:51

      EBCI-000008450 | EBCI→SCEL | cant=1 | creado=2026-06-21T12:42 | deadline=2026-06-23T12:42

      EBCI-000008451 | EBCI→SPIM | cant=1 | creado=2026-06-21T12:51 | deadline=2026-06-23T12:51

      EBCI-000008452 | EBCI→SCEL | cant=1 | creado=2026-06-21T13:08 | deadline=2026-06-23T13:08

      EBCI-000008453 | EBCI→OYSN | cant=1 | creado=2026-06-21T13:13 | deadline=2026-06-23T13:13

      EBCI-000008454 | EBCI→OERK | cant=1 | creado=2026-06-21T13:29 | deadline=2026-06-23T13:29

      EBCI-000008455 | EBCI→OYSN | cant=1 | creado=2026-06-21T13:30 | deadline=2026-06-23T13:30

      EBCI-000008456 | EBCI→SGAS | cant=1 | creado=2026-06-21T13:43 | deadline=2026-06-23T13:43

      EBCI-000008460 | EBCI→LBSF | cant=1 | creado=2026-06-21T14:28 | deadline=2026-06-22T14:28

      EBCI-000008461 | EBCI→UBBB | cant=1 | creado=2026-06-21T14:32 | deadline=2026-06-23T14:32

      EBCI-000008462 | EBCI→OJAI | cant=1 | creado=2026-06-21T14:49 | deadline=2026-06-23T14:49

      EBCI-000008466 | EBCI→EHAM | cant=1 | creado=2026-06-21T15:21 | deadline=2026-06-22T15:21

      EBCI-000008467 | EBCI→OMDB | cant=1 | creado=2026-06-21T15:36 | deadline=2026-06-23T15:36

      EBCI-000008468 | EBCI→SGAS | cant=1 | creado=2026-06-21T15:48 | deadline=2026-06-23T15:48

      EBCI-000008469 | EBCI→SABE | cant=1 | creado=2026-06-21T15:59 | deadline=2026-06-23T15:59

      EBCI-000008470 | EBCI→SABE | cant=1 | creado=2026-06-21T16:01 | deadline=2026-06-23T16:01

      EBCI-000008471 | EBCI→VIDP | cant=1 | creado=2026-06-21T16:15 | deadline=2026-06-23T16:15

      EBCI-000008472 | EBCI→LATI | cant=1 | creado=2026-06-21T16:20 | deadline=2026-06-22T16:20

      EBCI-000008473 | EBCI→SUAA | cant=1 | creado=2026-06-21T16:35 | deadline=2026-06-23T16:35

      EBCI-000008475 | EBCI→EHAM | cant=1 | creado=2026-06-21T16:57 | deadline=2026-06-22T16:57

      EBCI-000008476 | EBCI→SABE | cant=1 | creado=2026-06-21T17:00 | deadline=2026-06-23T17:00

      EBCI-000008477 | EBCI→SCEL | cant=1 | creado=2026-06-21T17:16 | deadline=2026-06-23T17:16

      EBCI-000008479 | EBCI→EHAM | cant=1 | creado=2026-06-21T17:36 | deadline=2026-06-22T17:36

      EBCI-000008481 | EBCI→OPKC | cant=1 | creado=2026-06-21T17:55 | deadline=2026-06-23T17:55

      EBCI-000008482 | EBCI→LOWW | cant=1 | creado=2026-06-21T18:06 | deadline=2026-06-22T18:06

      EBCI-000008485 | EBCI→SCEL | cant=1 | creado=2026-06-21T18:33 | deadline=2026-06-23T18:33

      EBCI-000008486 | EBCI→SPIM | cant=1 | creado=2026-06-21T18:45 | deadline=2026-06-23T18:45

      EBCI-000008488 | EBCI→VIDP | cant=1 | creado=2026-06-21T19:07 | deadline=2026-06-23T19:07

      EBCI-000008489 | EBCI→SCEL | cant=1 | creado=2026-06-21T19:12 | deadline=2026-06-23T19:12

      EBCI-000008491 | EBCI→VIDP | cant=1 | creado=2026-06-21T19:32 | deadline=2026-06-23T19:32

      EBCI-000008492 | EBCI→OMDB | cant=1 | creado=2026-06-21T19:40 | deadline=2026-06-23T19:40

      EBCI-000008493 | EBCI→EKCH | cant=1 | creado=2026-06-21T19:55 | deadline=2026-06-22T19:55

      EBCI-000008494 | EBCI→SGAS | cant=3 | creado=2026-06-21T22:23 | deadline=2026-06-23T22:23

      EBCI-000008495 | EBCI→SABE | cant=3 | creado=2026-06-21T22:41 | deadline=2026-06-23T22:41

      EBCI-000008496 | EBCI→LBSF | cant=3 | creado=2026-06-21T23:03 | deadline=2026-06-22T23:03

      EBCI-000008498 | EBCI→OAKB | cant=3 | creado=2026-06-21T23:46 | deadline=2026-06-23T23:46

      EDDI-000008100 | EDDI→EBCI | cant=1 | creado=2026-06-19T11:21 | deadline=2026-06-20T11:21

      EDDI-000008109 | EDDI→OPKC | cant=1 | creado=2026-06-19T12:38 | deadline=2026-06-21T12:38

      EDDI-000008112 | EDDI→EHAM | cant=1 | creado=2026-06-19T13:07 | deadline=2026-06-20T13:07

      EDDI-000008117 | EDDI→EBCI | cant=1 | creado=2026-06-19T13:49 | deadline=2026-06-20T13:49

      EDDI-000008120 | EDDI→SEQM | cant=1 | creado=2026-06-19T14:14 | deadline=2026-06-21T14:14

      EDDI-000008124 | EDDI→EHAM | cant=1 | creado=2026-06-19T14:54 | deadline=2026-06-20T14:54

      EDDI-000008126 | EDDI→OERK | cant=1 | creado=2026-06-19T15:10 | deadline=2026-06-21T15:10

      EDDI-000008128 | EDDI→UBBB | cant=1 | creado=2026-06-19T15:30 | deadline=2026-06-21T15:30

      EDDI-000008129 | EDDI→OSDI | cant=1 | creado=2026-06-19T15:36 | deadline=2026-06-21T15:36

      EDDI-000008130 | EDDI→UMMS | cant=1 | creado=2026-06-19T15:43 | deadline=2026-06-20T15:43

      EDDI-000008131 | EDDI→EKCH | cant=1 | creado=2026-06-19T15:57 | deadline=2026-06-20T15:57

      EDDI-000008133 | EDDI→OYSN | cant=1 | creado=2026-06-19T16:10 | deadline=2026-06-21T16:10

      EDDI-000008134 | EDDI→OAKB | cant=1 | creado=2026-06-19T16:19 | deadline=2026-06-21T16:19

      EDDI-000008135 | EDDI→OERK | cant=1 | creado=2026-06-19T16:32 | deadline=2026-06-21T16:32

      EDDI-000008136 | EDDI→OPKC | cant=1 | creado=2026-06-19T16:45 | deadline=2026-06-21T16:45

      EDDI-000008137 | EDDI→SGAS | cant=1 | creado=2026-06-19T16:45 | deadline=2026-06-21T16:45

      EDDI-000008138 | EDDI→SEQM | cant=1 | creado=2026-06-19T16:59 | deadline=2026-06-21T16:59

      EDDI-000008139 | EDDI→EKCH | cant=1 | creado=2026-06-19T17:03 | deadline=2026-06-20T17:03

      EDDI-000008140 | EDDI→SLLP | cant=1 | creado=2026-06-19T17:18 | deadline=2026-06-21T17:18

      EDDI-000008142 | EDDI→EHAM | cant=1 | creado=2026-06-19T17:32 | deadline=2026-06-20T17:32

      EDDI-000008143 | EDDI→SABE | cant=1 | creado=2026-06-19T17:44 | deadline=2026-06-21T17:44

      EDDI-000008144 | EDDI→SKBO | cant=1 | creado=2026-06-19T17:53 | deadline=2026-06-21T17:53

      EDDI-000008145 | EDDI→SGAS | cant=1 | creado=2026-06-19T17:01 | deadline=2026-06-21T17:01

      EDDI-000008146 | EDDI→SEQM | cant=1 | creado=2026-06-19T18:10 | deadline=2026-06-21T18:10

      EDDI-000008147 | EDDI→OYSN | cant=1 | creado=2026-06-19T18:19 | deadline=2026-06-21T18:19

      EDDI-000008148 | EDDI→OYSN | cant=1 | creado=2026-06-19T18:30 | deadline=2026-06-21T18:30

      EDDI-000008149 | EDDI→LATI | cant=1 | creado=2026-06-19T18:37 | deadline=2026-06-20T18:37

      EDDI-000008150 | EDDI→SABE | cant=1 | creado=2026-06-19T18:49 | deadline=2026-06-21T18:49

      EDDI-000008151 | EDDI→SABE | cant=1 | creado=2026-06-19T18:59 | deadline=2026-06-21T18:59

      EDDI-000008152 | EDDI→SPIM | cant=1 | creado=2026-06-19T19:03 | deadline=2026-06-21T19:03

      EDDI-000008153 | EDDI→OSDI | cant=1 | creado=2026-06-19T19:14 | deadline=2026-06-21T19:14

      EDDI-000008154 | EDDI→SCEL | cant=1 | creado=2026-06-19T19:20 | deadline=2026-06-21T19:20

      EDDI-000008155 | EDDI→SBBR | cant=1 | creado=2026-06-19T19:27 | deadline=2026-06-21T19:27

      EDDI-000008156 | EDDI→OOMS | cant=2 | creado=2026-06-19T22:24 | deadline=2026-06-21T22:24

      EDDI-000008157 | EDDI→LBSF | cant=2 | creado=2026-06-19T22:31 | deadline=2026-06-20T22:31

      EDDI-000008158 | EDDI→OPKC | cant=2 | creado=2026-06-19T22:49 | deadline=2026-06-21T22:49

      EDDI-000008159 | EDDI→OJAI | cant=2 | creado=2026-06-19T23:06 | deadline=2026-06-21T23:06

      EDDI-000008160 | EDDI→SEQM | cant=2 | creado=2026-06-19T23:24 | deadline=2026-06-21T23:24

      EDDI-000008161 | EDDI→OPKC | cant=2 | creado=2026-06-19T23:31 | deadline=2026-06-21T23:31

      EDDI-000008162 | EDDI→LATI | cant=2 | creado=2026-06-19T23:53 | deadline=2026-06-20T23:53

      EDDI-000008163 | EDDI→EKCH | cant=2 | creado=2026-06-20T00:02 | deadline=2026-06-21T00:02

      EDDI-000008164 | EDDI→LATI | cant=2 | creado=2026-06-20T00:22 | deadline=2026-06-21T00:22

      EDDI-000008165 | EDDI→OPKC | cant=2 | creado=2026-06-20T00:35 | deadline=2026-06-22T00:35

      EDDI-000008166 | EDDI→SLLP | cant=2 | creado=2026-06-20T00:47 | deadline=2026-06-22T00:47

      EDDI-000008167 | EDDI→SGAS | cant=2 | creado=2026-06-20T01:00 | deadline=2026-06-22T01:00

      EDDI-000008168 | EDDI→SABE | cant=2 | creado=2026-06-20T01:16 | deadline=2026-06-22T01:16

      EDDI-000008169 | EDDI→SCEL | cant=2 | creado=2026-06-20T01:39 | deadline=2026-06-22T01:39

      EDDI-000008170 | EDDI→SPIM | cant=2 | creado=2026-06-20T01:48 | deadline=2026-06-22T01:48

      EDDI-000008171 | EDDI→VIDP | cant=2 | creado=2026-06-20T02:00 | deadline=2026-06-22T02:00

      EDDI-000008174 | EDDI→SVMI | cant=2 | creado=2026-06-20T02:46 | deadline=2026-06-22T02:46

      EDDI-000008175 | EDDI→OMDB | cant=2 | creado=2026-06-20T03:09 | deadline=2026-06-22T03:09

      EDDI-000008176 | EDDI→OERK | cant=2 | creado=2026-06-20T03:16 | deadline=2026-06-22T03:16

      EDDI-000008177 | EDDI→SABE | cant=2 | creado=2026-06-20T03:30 | deadline=2026-06-22T03:30

      EDDI-000008180 | EDDI→SVMI | cant=2 | creado=2026-06-20T04:17 | deadline=2026-06-22T04:17

      EDDI-000008181 | EDDI→OOMS | cant=2 | creado=2026-06-20T04:37 | deadline=2026-06-22T04:37

